Name	UserRank	AHPRank	SVMRank
"{33,35,78,84,87} => {80}"	1083	1050	1124
"{33,52,78,84} => {69}"	702	697	771
"{52,56,60,69,78,80,84,87} => {35}"	534	594	554
"{56,78,80,94} => {69}"	171	163	349
"{52,56,69,78,80,94} => {87}"	834	816	890
"{35,52,69,78,80,84,87,94} => {33}"	1099	1064	1138
"{56,60,78,80,84} => {87}"	581	515	659
"{33,35,78,94} => {56}"	730	722	796
"{35,56,78,94} => {87}"	1161	1120	1194
"{1,78,80,84} => {69}"	1646	1610	1469
"{1,33,78,80,87} => {69}"	1640	1607	1466
"{35,52,69,84,87} => {33}"	684	680	754
"{35,52,78,84,87} => {33}"	1091	1057	1131
"{1,21,33,52,56,84,94} => {38}"	395	466	193
"{1,21,33,35,69,80,84,94} => {38}"	340	411	138
"{33,52,78,87,94} => {35}"	126	74	74
"{33,94} => {87}"	185	171	357
"{56,78,87} => {1}"	1698	2114	1289
"{33,35,56,80,84,87} => {69}"	1235	1180	1254
"{33,56,60,69,78,94} => {84}"	1389	1375	1405
"{33,60,69,80,84} => {87}"	599	529	673
"{33,52,56,69,80} => {78}"	788	773	847
"{33,69,80,84,94} => {87}"	167	160	346
"{60,78,80,87} => {56}"	628	548	692
"{21,33,69} => {56}"	1118	1080	1154
"{33,35,52,78,84,87} => {80}"	897	876	950
"{33,35,80,84,94} => {56}"	1201	1152	1226
"{35,56,69,78,80} => {33}"	836	817	891
"{33,35,56,69,78,84,94} => {87}"	1225	1171	1245
"{33,35,52,78,80,94} => {69}"	1052	1021	1095
"{33,52,56,78,84} => {94}"	285	248	486
"{35,52,56,69,84,94} => {80}"	904	883	957
"{80} => {56}"	96	119	119
"{33,35,87,94} => {78}"	902	881	955
"{1,84,87} => {38}"	1625	2537	728
"{21,35,80,84,87} => {52}"	470	303	403
"{33,35,80,84,87} => {56}"	1237	1182	1256
"{56,69,78,80} => {21}"	1037	1230	630
"{33,56,69,84,94} => {60}"	1326	1419	1449
"{21,78,80,94} => {84}"	728	721	795
"{33,52,56,80,84,87} => {69}"	1043	1013	1087
"{1,21,35,52,78,80,87,94} => {38}"	376	447	174
"{21,69,78,87,94} => {33}"	842	822	896
"{52,56,69,94} => {35}"	38	21	21
"{21,33,52,56,84,87,94} => {35}"	454	287	387
"{33,52,56,78,84,87} => {69}"	669	666	740
"{52,94} => {80}"	866	846	920
"{33,35,56,69,78} => {94}"	218	216	454
"{33,56,60,84,87} => {69}"	585	519	663
"{60,80} => {84}"	643	560	704
"{33,52,69,78,84} => {80}"	1007	982	1056
"{35,52} => {87}"	847	827	901
"{60,80,84} => {33}"	660	574	718
"{60,78,84,87,94} => {56}"	1387	1373	1403
"{21,52,78,87,94} => {35}"	458	291	391
"{33,35,69,78,80,84} => {56}"	807	791	865
"{56,78,80,84,87,94} => {52}"	271	375	288
"{21,33,69,78,84} => {94}"	309	259	497
"{1,33,87} => {69}"	1652	1615	1474
"{21,33,78,87,94} => {69}"	962	939	1013
"{21,33,35,80,87} => {94}"	1302	1302	1339
"{33,52,78,80,84,94} => {56}"	822	804	878
"{69,78,84} => {60}"	631	655	529
"{21,33,80,84,94} => {69}"	1136	1097	1171
"{52,78,80,84,87} => {69}"	732	724	798
"{35,56,80,87} => {84}"	1024	996	1070
"{33,56,60,69,80,84,94} => {87}"	1421	1407	1437
"{52,60,69,78,84} => {35}"	556	616	576
"{33,35,56,78,80,84,94} => {69}"	964	941	1015
"{52,56,87,94} => {80}"	811	794	868
"{21,33,35,69,78} => {94}"	1291	1291	1328
"{33,69,80,94} => {60}"	1333	1422	1452
"{21,33,56,78,84,94} => {80}"	937	914	988
"{1,21,69,78,80,94} => {38}"	1751	1975	1557
"{33,52,78,84} => {35}"	132	78	78
"{33,80,84,87,94} => {21}"	295	390	303
"{21,33,69,78,84,87,94} => {56}"	863	843	917
"{1,52,84,87} => {38}"	1790	2014	1596
"{35,56,69,84} => {78}"	750	740	814
"{33,60,69,84,87} => {80}"	639	557	701
"{21,56,78,84,87,94} => {33}"	1229	1175	1249
"{56,87,94} => {35}"	241	364	277
