Name	UserRank	AHPRank	SVMRank
"{69,78} => {33}"	36	72	72
"{35,56,69,78,80,87,94} => {52}"	26	10	10
"{33,69,78,80} => {56}"	97	99	99
"{33,35,56} => {52}"	89	44	44
"{33,56,78,80} => {84}"	2	53	53
"{69,78,80} => {87}"	28	68	68
"{78,84,87,94} => {69}"	111	109	224
"{33,69,84} => {78}"	24	67	67
"{56,80,84,87} => {33}"	76	90	90
"{33,52,56,94} => {35}"	67	33	33
"{69,78,80,84,87} => {33}"	92	97	97
"{33,56,69,78,80,94} => {84}"	147	132	247
"{33,52,56,69,84,87} => {35}"	31	13	13
"{69,78,80,94} => {84}"	135	123	238
"{33,35,56,69} => {52}"	59	29	29
"{56,69,87} => {78}"	62	83	83
"{33,69,84,87} => {56}"	52	77	77
"{56,69,80} => {94}"	110	146	156
"{52,69,78,80,87,94} => {35}"	47	23	23
"{33,52,56,69,78,87,94} => {35}"	16	7	7
"{78,80,84,94} => {33}"	100	100	215
"{33,69,80,87} => {56}"	88	96	96
"{80} => {56}"	79	91	91
"{33,78,87} => {56}"	32	70	70
"{35,56,84,87} => {52}"	10	2	2
"{33,52,69,78,87} => {35}"	82	42	42
"{33,78,94} => {84}"	120	115	230
"{56,69,80,84,87} => {94}"	132	155	165
"{78,87} => {84}"	72	87	87
"{33,69,80,94} => {84}"	143	129	244
"{33,69,78} => {84}"	56	81	81
"{33,52,56,69,80,84,87} => {35}"	29	12	12
"{33,56,87} => {69}"	86	95	95
"{33,52,56,78,94} => {35}"	66	32	32
"{35,56,69,80,84,94} => {52}"	51	26	26
"{35,56,80,94} => {52}"	39	18	18
"{33,80,84,87,94} => {78}"	127	120	235
"{78,84,94} => {80}"	117	112	227
"{87} => {78}"	74	89	89
"{69,84} => {56}"	1	52	52
"{56,78,84,87} => {69}"	64	85	85
"{33,56,78,80,84,87} => {94}"	148	160	170
"{80} => {94}"	139	157	167
"{33,56,84} => {87}"	21	64	64
"{56,69,80,94} => {84}"	106	105	220
"{33,52,56,78,84,94} => {35}"	13	4	4
"{33,78,87,94} => {69}"	124	118	233
"{33,56,78,80,84} => {69}"	44	74	74
"{56,84} => {33}"	85	94	94
"{33,56,69,80,84,87,94} => {78}"	109	108	223
"{33,52,69,78,80,94} => {35}"	71	36	36
"{52,69,78,84,87,94} => {35}"	70	35	35
"{33,35,80,87} => {52}"	27	11	11
"{35,80,84,94} => {52}"	90	45	45
"{33,69,78,80,94} => {87}"	136	124	239
"{33,69,80,84} => {94}"	103	145	155
"{56,78,84,94} => {69}"	149	133	248
"{33,56,84,87} => {78}"	55	80	80
"{33,56,84,94} => {80}"	153	137	252
"{56,69,80,84,87,94} => {78}"	161	144	259
"{56,69,84,87} => {33}"	54	79	79
"{33,69,78,94} => {80}"	144	130	245
"{33,84} => {87}"	9	59	59
"{33,56,78,84,94} => {80}"	137	125	240
"{33,56,78,80,94} => {69}"	140	127	242
"{56,87,94} => {69}"	104	103	218
"{78,80,94} => {87}"	108	107	222
"{35,56,78} => {52}"	14	5	5
"{78,84,87} => {80}"	17	61	61
"{33,35,84,87} => {52}"	15	6	6
"{80,87,94} => {33}"	131	121	236
"{56} => {80}"	84	93	93
"{56,84} => {94}"	146	159	169
"{33,56,69,80,84,94} => {78}"	116	111	226
"{78,84,94} => {33}"	121	116	231
"{33,56,69,80} => {94}"	133	156	166
"{35,78} => {52}"	58	28	28
"{33,56,69,80,87} => {94}"	113	148	158
"{56,80} => {33}"	49	76	76
"{33,78,94} => {87}"	101	101	216
"{33,69,78,84,87} => {94}"	112	147	157
"{33,52,69,84} => {35}"	50	25	25
"{52,69,78,80} => {35}"	94	47	47
"{33,56,69,80,84} => {87}"	30	69	69
"{33} => {87}"	6	57	57
"{33,56,78,84} => {94}"	129	153	163
"{33,52,56,69} => {35}"	43	21	21
"{52,56,69,80} => {35}"	81	41	41
"{33,52,87} => {35}"	80	40	40
"{33,35,56,78,80,87,94} => {52}"	95	48	48
"{78,94} => {69}"	150	134	249
"{35,56,69,80,87} => {52}"	77	38	38
"{52,80,84} => {35}"	75	37	37
"{35,56,80,84,87,94} => {52}"	8	1	1
"{35,69,80} => {52}"	57	27	27
"{52,56,69,78,80} => {35}"	37	16	16
"{33,69,84} => {80}"	93	98	98
"{69,80,84,87} => {94}"	122	150	160
"{78,84,87} => {56}"	42	73	73
"{33,56,69,87,94} => {80}"	105	104	219
"{33,35,56,69,78,80,94} => {52}"	25	9	9
"{33,56,69,78,84,94} => {87}"	160	143	258
"{33,52,56,69,87,94} => {35}"	96	49	49
"{33,69,94} => {80}"	156	140	255
"{56,78,84} => {80}"	63	84	84
"{33,78,80} => {84}"	19	63	63
"{35,56,78,80,94} => {52}"	99	51	51
"{33,56,78,87,94} => {84}"	134	122	237
"{80,84} => {33}"	61	82	82
"{33,84,87,94} => {69}"	145	131	246
"{33,69,80,94} => {78}"	107	106	221
"{33,69,78,80,84} => {56}"	22	65	65
"{78,84,87} => {94}"	125	151	161
"{33,52,84,87,94} => {35}"	78	39	39
"{33,52,56,69,78,84,94} => {35}"	87	43	43
"{56,69,78,80,84} => {94}"	130	154	164
"{52,69} => {35}"	35	15	15
"{69,78,80,87} => {84}"	33	71	71
"{69,78,80,84} => {33}"	73	88	88
"{33,56,69,87} => {84}"	68	86	86
"{33,35,56,69,78,80} => {52}"	40	19	19
"{35,56,69,84,94} => {52}"	41	20	20
"{33,69,78,87} => {84}"	12	60	60
"{69,78,84,87,94} => {56}"	118	113	228
"{33,69,78,80,84} => {87}"	5	56	56
"{69,78,84,87,94} => {80}"	123	117	232
"{33,35,69,78,80} => {52}"	69	34	34
"{52,56,69,78,94} => {35}"	38	17	17
"{78,84,87,94} => {80}"	119	114	229
"{33,52,80,84} => {35}"	48	24	24
"{35,69,78,80,84,87} => {52}"	20	8	8
"{33,52,56,80,94} => {35}"	11	3	3
"{33,78,80,87} => {56}"	53	78	78
"{69,78,80,84,87,94} => {56}"	151	135	250
"{56,69,80,84,87} => {33}"	3	54	54
"{80,84,94} => {69}"	155	139	254
"{56,78,80,87} => {94}"	128	152	162
"{33,69,80} => {94}"	142	158	168
"{33,56,69,84,94} => {78}"	126	119	234
"{87} => {33}"	18	62	62
"{33} => {56}"	4	55	55
"{33,78,84,94} => {69}"	157	141	256
"{33,35,87,94} => {52}"	98	50	50
"{33,78,87,94} => {80}"	102	102	217
"{56,69} => {78}"	83	92	92
"{69,78,80,87} => {94}"	115	149	159
"{33,35,78,94} => {52}"	60	30	30
"{33,84,87,94} => {56}"	141	128	243
"{35,78,80,84,87} => {52}"	45	22	22
"{56,78} => {80}"	46	75	75
"{56,69,80,84,94} => {33}"	154	138	253
"{33,56,69,94} => {87}"	138	126	241
"{33,56,69,84,94} => {80}"	152	136	251
"{52,69,78,80,84,94} => {35}"	91	46	46
"{33,35,56,78,80,87} => {52}"	65	31	31
"{69,80,87,94} => {84}"	114	110	225
"{33,52,56,69,80,84,87,94} => {35}"	34	14	14
"{33,56,69,80} => {78}"	23	66	66
"{78,80,84,94} => {56}"	159	142	257
"{33,78,84,87} => {69}"	7	58	58
