Name	UserRank	AHPRank	SVMRank
"{0,32,5} => {6}"	5	5	10
"{17,2} => {15}"	1	1	8
"{20,6} => {5}"	6	4	7
"{17,8} => {15}"	7	12	18
"{22,5} => {6}"	36	26	11
"{22,32,6} => {0}"	51	34	32
"{10,22} => {19}"	28	42	36
"{17,19,2,8} => {15}"	46	31	24
"{34,5} => {6}"	22	15	26
"{10} => {19}"	29	43	37
"{31} => {17}"	12	30	33
"{0,20} => {5}"	13	11	6
"{0,22,6} => {5}"	40	29	21
"{17,2,20} => {15}"	3	3	2
"{0,34} => {6}"	18	13	23
"{2,31,8} => {15}"	21	17	22
"{17,20,32,8} => {15}"	70	47	38
"{0,20,32} => {5}"	19	14	9
"{20,32,5} => {0}"	26	23	13
"{34,6} => {5}"	33	21	15
"{0,32} => {6}"	8	8	5
"{34,5,6} => {0}"	35	25	31
"{17,31,8} => {15}"	43	36	35
"{0,22,32} => {6}"	41	27	29
"{2,20,31,8} => {15}"	31	24	19
"{17,19,8} => {15}"	74	50	40
"{32,6} => {0}"	4	6	17
"{32,5} => {6}"	10	9	3
"{0,32,6} => {5}"	11	10	4
"{17,20,8} => {15}"	17	16	28
"{22,6} => {0}"	24	19	30
"{0,20,5} => {6}"	9	7	12
"{0,22} => {5}"	39	28	20
"{17,2} => {8}"	45	46	39
"{0,34} => {5}"	34	22	16
"{17,2,31,32} => {15}"	47	32	25
"{17,2,31,32,8} => {15}"	58	38	27
"{6} => {5}"	2	2	1
"{0,34,6} => {5}"	32	20	14
"{17,32,8} => {15}"	42	35	34
